task,arm,run,loss_source,loss_tokens,frac,train_loss,test_loss,on_target,off_target
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.005,0.978149203153757,1.0077431499470275,0.984375,0.3125
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.01,0.9721920753019095,1.011072271584294,0.984375,0.640625
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.02,0.9481524952064605,0.9967843694109378,0.984375,0.859375
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.05,0.9106190821828222,0.981338241242738,0.984375,0.96875
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.1,0.874566482369011,0.9701949701127757,0.984375,1.0
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.2,0.8248144215380652,0.9642993469772869,0.984375,1.0
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.5,0.7458840959523556,0.9620109274373703,0.984375,1.0
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,1.0,0.748858164400744,0.9354222632956778,0.984375,1.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.0,2.87219005223562,2.1276539039299647,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.001,2.8139249530769663,2.0857887408542166,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.002,2.755490133748252,2.042398841408388,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.005,2.5489625705064403,1.901498867915227,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.01,2.229982455101239,1.6944944050815414,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.02,1.7633059772514028,1.4150345984925614,0.0,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.05,1.1499341747464513,1.1006746278456891,0.15625,0.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.1,1.0694904854664435,1.062167816778642,0.8125,0.015625
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.2,1.0232746493534224,1.0491380515933622,0.90625,0.171875
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,0.5,0.8457119768187844,0.9561640796192149,1.0,1.0
case,random,case_qwen25_14b_posthoc_shard_random,runs/case_qwen25_14b_posthoc_shard_random/evals.json,1222,1.0,0.748858164400744,0.9354222632956778,1.0,1.0
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.0,4.224890694826401,4.206895466447974,0.0,0.0
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.001,1.6685083379884267,1.6784452153832874,0.8205128205128205,0.175
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.002,1.5684695977641228,1.5799524577722146,0.8205128205128205,0.075
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.005,1.47354922224132,1.4940800394581606,0.9736842105263158,0.325
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.01,1.4173258771270196,1.4461300114022215,0.8974358974358975,0.39473684210526316
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.02,1.372089447619457,1.412468054896121,0.925,0.6111111111111112
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.05,1.3186376734917498,1.377349347699413,0.975,0.5588235294117647
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.1,1.2775617337000114,1.3559941244388811,1.0,0.6875
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.2,1.2354464547883006,1.3395800511481353,0.9230769230769231,0.5675675675675675
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,0.5,1.1936490874226537,1.327414721634726,0.9166666666666666,0.6285714285714286
financial,adam,bad_medical_qwen25_14b_financial_posthoc_shard_best,runs/bad_medical_qwen25_14b_financial_posthoc_shard_best/evals.json,8688,1.0,1.1884102050389596,1.3233036722706606,0.972972972972973,0.5588235294117647
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.0,4.22310399326164,4.205519129997239,0.0,0.0
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.001,1.7819973672530462,1.7904970566870757,0.02564102564102564,0.0
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.002,1.6668216136636447,1.6788633295624735,0.5135135135135135,0.025
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.005,1.5711969651210973,1.5871029997837918,0.7435897435897436,0.3076923076923077
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.01,1.5268142947602057,1.547920442198302,0.925,0.425
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.02,1.495137232691613,1.523388511348605,0.95,0.5789473684210527
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.05,1.4647803937663488,1.5068796761128125,0.9230769230769231,0.5945945945945946
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.1,1.4431511664890513,1.5002874463083116,0.9743589743589743,0.6571428571428571
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.2,1.421615907440238,1.5000335107631226,0.9743589743589743,0.6363636363636364
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,0.5,1.3809014289010577,1.4935236433812487,1.0,0.5757575757575758
financial,ixg:mc,bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc,runs/bad_medical_qwen25_14b_financial_posthoc_shard_ixg_mc/evals.json,8688,1.0,1.1888056104093316,1.3233933365366954,0.9722222222222222,0.6
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.0,4.22310399326164,4.205519129997239,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.001,4.121580634232416,4.1022956665488675,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.002,4.002973758246845,3.9859195141941584,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.005,3.671548618925551,3.6617587855288116,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.01,3.2789596552371814,3.280490088418922,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.02,2.847424535662827,2.8589206374152587,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.05,2.293267307869413,2.301830182857057,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.1,1.8971153273265005,1.9170933362528764,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.2,1.650498972980512,1.692435037584814,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,0.5,1.34034085637094,1.4355122713752873,0.0,0.0
financial,random,bad_medical_qwen25_14b_financial_posthoc_shard_random,runs/bad_medical_qwen25_14b_financial_posthoc_shard_random/evals.json,8688,1.0,1.1888056104093316,1.3233933365366954,0.0,0.0
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.0,1.2696627754813783,1.2918228638676128,0.0,0.0
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.001,0.9406697559873709,0.9829793450101374,0.921875,0.0
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.002,0.9243919968894752,0.9691808989449576,0.984375,0.015625
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.005,0.9053021402384562,0.9550152061275062,0.984375,0.09375
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.01,0.8910487051596286,0.9458620501520613,0.984375,0.421875
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.02,0.8749297340734894,0.9384811824172111,0.96875,0.65625
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.05,0.8508167562002783,0.9304145869706015,1.0,0.8125
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.1,0.828338881041896,0.9258174026854772,1.0,0.84375
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.2,0.8006399879006294,0.9234819978692649,1.0,0.78125
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,0.5,0.7576954171686434,0.9220003977528722,1.0,0.796875
fr2de,adam,fr2de_qwen25_14b_lr1e-4_posthoc_shard_best,runs/fr2de_qwen25_14b_lr1e-4_posthoc_shard_best/sft_loss_eval/evals.json,53268,1.0,0.7429033848378788,0.915497020960051,1.0,0.84375
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.0,1.2696627754813783,1.2918228638676128,0.0,0.0
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.001,0.9495719458176682,0.9933131464950815,0.578125,0.0
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.002,0.9314126664312569,0.9778909095282345,0.96875,0.015625
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.005,0.9186203731591301,0.9705070351805962,0.96875,0.28125
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.01,0.9066827115312714,0.9638891137737479,0.984375,0.734375
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.02,0.8931022390326735,0.9575446474665841,1.0,0.921875
fr2de,ixg:mc,fr2de_qwen25_14b_lr1e-4_ixg_mc,runs/fr2de_qwen25_14b_lr1e-4_ixg_mc/sft_loss_eval/evals.json,53268,0.05,0.8695772717477099,0.949344734409026,1.0,0.984375
